year,month,monthly_anomaly,monthly_uncertainty
1835,1,0.499,1.727
1835,2,-0.195,1.57
1835,3,-0.933,1.265
1835,4,-0.623,1.19
1835,5,-1.106,1.286
1835,6,-1.468,1.072
1835,7,-1.634,0.762
1835,8,-1.769,0.618
1835,9,-2.169,0.728
1835,10,-1.282,0.881
1835,11,-1.865,1.594
1835,12,-2.086,1.716
1836,1,-0.531,1.731
1836,2,-0.667,1.44
1836,3,-0.086,1.106
1836,4,-1.268,1.444
1836,5,-1.19,1.174
1836,6,-1.24,0.614
1836,7,-1.147,0.701
1836,8,-1.397,1.02
1836,9,-1.555,0.923
1836,10,-0.556,1.186
1836,11,-2.031,1.337
1836,12,-0.421,1.27
1837,1,-0.239,1.756
1837,2,-0.492,1.767
1837,3,-1.587,1.644
1837,4,-1.987,1.057
1837,5,-1.63,1.556
1837,6,-1.476,0.911
1837,7,-1.419,0.962
1837,8,-1.129,1.03
1837,9,-1.455,0.723
1837,10,-1.639,1.07
1837,11,-1.639,1.179
1837,12,-1.127,1.476
1838,1,-2.93,2.352
1838,2,-1.595,1.469
1838,3,-1.703,1.933
1838,4,-1.076,1.561
1838,5,-1.303,1.126
1838,6,-0.918,0.904
1838,7,-0.322,0.755
1838,8,-0.621,0.991
1838,9,-1.133,1.005
1838,10,-0.694,0.895
1838,11,-0.828,1.248
1838,12,-0.837,1.126
1839,1,-0.179,2.09
1839,2,0.354,1.594
1839,3,-2.693,1.558
1839,4,-0.454,0.926
1839,5,-1.003,0.815
1839,6,-0.818,0.48
1839,7,-0.007,0.574
1839,8,0.065,0.978
1839,9,-1.254,1.314
1839,10,-1.055,1.185
1839,11,-2.015,1.111
1839,12,-2.23,1.625
1840,1,0.227,1.409
1840,2,-1.015,1.38
1840,3,-1.36,1.677
1840,4,-0.546,0.839
1840,5,-0.206,0.771
1840,6,-0.301,0.909
1840,7,0.056,0.57
1840,8,-0.998,0.975
1840,9,-1.201,0.85
1840,10,-1.771,0.808
1840,11,-1.915,0.887
1840,12,-1.535,0.948
1841,1,-1.715,1.738
1841,2,-0.604,1.659
1841,3,-2.138,1.201
1841,4,-1.738,1.181
1841,5,-0.735,0.604
1841,6,-0.696,0.786
1841,7,-0.068,0.498
1841,8,-0.439,0.617
1841,9,-1.384,0.707
1841,10,-0.612,0.913
1841,11,-1.29,0.951
1841,12,-1.047,0.956
1842,1,-0.775,1.727
1842,2,-0.334,1.417
1842,3,0.367,1.022
1842,4,-0.199,0.845
1842,5,-0.903,0.793
1842,6,-1.067,0.668
1842,7,-1.017,0.616
1842,8,-0.828,0.566
1842,9,-1.281,0.79
1842,10,-0.97,0.647
1842,11,-1.208,0.765
1842,12,0.137,0.862
1843,1,0.545,1.183
1843,2,0.792,1.123
1843,3,-0.579,1.059
1843,4,-0.565,0.748
1843,5,-1.395,0.739
1843,6,-1.142,0.616
1843,7,-0.681,0.515
1843,8,-0.81,0.48
1843,9,-0.962,0.782
1843,10,-0.641,0.904
1843,11,-1.148,0.743
1843,12,0.224,0.834
1844,1,-0.572,1.242
1844,2,-1.034,1.228
1844,3,-0.719,1.242
1844,4,-1.059,0.888
1844,5,-1.295,0.749
1844,6,-0.863,0.633
1844,7,-0.74,0.563
1844,8,-1.01,0.557
1844,9,-1.322,0.666
1844,10,-0.638,0.682
1844,11,-1.66,0.808
1844,12,-1.733,1.114
1845,1,0.089,1.607
1845,2,-1.588,1.095
1845,3,-0.835,0.885
1845,4,-0.292,0.733
1845,5,-0.995,0.613
1845,6,-0.783,0.654
1845,7,-0.28,0.605
1845,8,-0.542,0.644
1845,9,-1.039,0.72
1845,10,-1.485,0.976
1845,11,-0.913,0.891
1845,12,-1.856,1.394
1846,1,0.735,1.969
1846,2,0.258,1.502
1846,3,0.907,0.954
1846,4,-0.991,1.402
1846,5,-0.577,0.737
1846,6,-0.128,0.612
1846,7,0.276,0.563
1846,8,-0.04,0.572
1846,9,-0.481,0.607
1846,10,-1.083,1.093
1846,11,-0.931,1.091
1846,12,0.06,1.477
1847,1,0.133,1.568
1847,2,0.338,1.412
1847,3,-1.455,1.423
1847,4,-0.454,0.915
1847,5,-0.882,0.676
1847,6,-0.859,0.828
1847,7,-0.389,0.829
1847,8,-0.696,0.643
1847,9,-0.677,0.768
1847,10,-0.708,0.565
1847,11,-0.568,0.746
1847,12,-1.921,0.99
1848,1,-2.115,1.448
1848,2,0.499,1.377
1848,3,-0.63,1.02
1848,4,-0.335,0.846
1848,5,-0.9,0.882
1848,6,-0.481,0.674
1848,7,-0.174,0.631
1848,8,-0.803,0.595
1848,9,-1.265,0.599
1848,10,-0.674,0.695
1848,11,-0.914,0.753
1848,12,-1.601,0.821
1849,1,-0.662,1.289
1849,2,-0.684,1.264
1849,3,-0.163,0.992
1849,4,-1.328,0.9
1849,5,-1.329,0.618
1849,6,-0.721,0.844
1849,7,-0.176,0.902
1849,8,-0.509,0.595
1849,9,-1.198,0.667
1849,10,-0.479,0.726
1849,11,-0.39,0.977
1849,12,-1.786,1.027
1850,1,-1.946,1.051
1850,2,-0.242,1.181
1850,3,-0.538,1.102
1850,4,-1.318,0.709
1850,5,-1.441,0.585
1850,6,-0.568,0.713
1850,7,-0.123,0.518
1850,8,-0.101,0.619
1850,9,-0.816,0.527
1850,10,-1.305,0.841
1850,11,-1.499,0.999
1850,12,-1.215,0.797
1851,1,-0.19,0.928
1851,2,-0.779,1.033
1851,3,-1.338,0.955
1851,4,-1.204,0.557
1851,5,-0.441,0.874
1851,6,-0.348,0.573
1851,7,-0.008,0.531
1851,8,-0.343,0.6
1851,9,-0.55,0.641
1851,10,-0.27,0.929
1851,11,-1.299,0.59
1851,12,-0.584,1.221
1852,1,-0.361,1.47
1852,2,-0.816,1.014
1852,3,-1.741,1.057
1852,4,-1.019,0.901
1852,5,-0.336,0.883
1852,6,-0.607,0.518
1852,7,-0.163,0.445
1852,8,-0.895,0.441
1852,9,-0.788,0.536
1852,10,-0.466,0.596
1852,11,-1.597,0.637
1852,12,0.079,0.783
1853,1,-0.814,1.239
1853,2,-1.179,1.083
1853,3,-1.383,0.77
1853,4,-0.892,0.605
1853,5,-0.517,0.58
1853,6,-0.338,0.593
1853,7,0.112,0.51
1853,8,-0.09,0.519
1853,9,-0.63,0.464
1853,10,-0.75,0.758
1853,11,-1.443,0.831
1853,12,-0.718,0.63
1854,1,-1.375,1.03
1854,2,-1.334,1.01
1854,3,-0.682,0.86
1854,4,-0.778,0.531
1854,5,-0.445,0.611
1854,6,-0.868,0.68
1854,7,0.071,0.464
1854,8,-0.227,0.57
1854,9,-0.665,0.538
1854,10,0.52,0.686
1854,11,-0.431,0.645
1854,12,-0.093,1.091
1855,1,0.131,1.461
1855,2,-0.196,1.15
1855,3,-0.714,0.884
1855,4,0.197,0.623
1855,5,-0.171,0.886
1855,6,-0.566,0.445
1855,7,-0.679,0.385
1855,8,-0.518,0.448
1855,9,-1.001,0.412
1855,10,-0.8,0.604
1855,11,-0.949,0.629
1855,12,-1.688,1.028
1856,1,0.054,0.971
1856,2,-1.073,1.376
1856,3,-1.052,0.856
1856,4,-0.601,0.605
1856,5,-0.795,0.486
1856,6,-0.071,0.851
1856,7,-0.407,0.573
1856,8,-1.001,0.668
1856,9,-1.333,0.546
1856,10,-1.279,0.531
1856,11,-0.881,0.652
1856,12,-0.299,0.711
1857,1,-0.849,1.172
1857,2,-0.974,0.89
1857,3,-1.072,0.74
1857,4,-1.672,0.544
1857,5,-1.601,0.514
1857,6,-1.017,0.461
1857,7,-0.573,0.435
1857,8,-0.796,0.48
1857,9,-1.151,0.464
1857,10,-1.145,0.554
1857,11,-0.978,0.735
1857,12,-0.181,0.675
1858,1,-0.059,1.061
1858,2,-1.049,0.769
1858,3,-0.591,0.742
1858,4,-0.174,0.503
1858,5,-0.595,0.53
1858,6,-0.351,0.491
1858,7,-0.691,0.569
1858,8,-0.735,0.549
1858,9,-1.116,0.535
1858,10,-0.536,0.562
1858,11,-0.233,0.861
1858,12,-1.262,0.793
1859,1,-0.616,0.888
1859,2,-0.585,0.855
1859,3,-0.377,0.668
1859,4,0.102,0.482
1859,5,0.045,0.614
1859,6,-0.242,0.616
1859,7,-0.493,0.679
1859,8,-0.705,0.431
1859,9,-1.111,0.437
1859,10,-0.381,0.575
1859,11,-0.336,0.495
1859,12,-0.524,1.103
1860,1,-0.774,0.876
1860,2,-0.68,0.791
1860,3,-2.066,0.65
1860,4,-0.634,0.528
1860,5,-0.371,0.796
1860,6,-0.181,0.489
1860,7,-0.106,0.554
1860,8,-0.044,0.623
1860,9,-0.226,0.543
1860,10,-0.594,0.801
1860,11,-1.168,0.666
1860,12,-2.179,0.665
1861,1,-2.262,1.023
1861,2,-1.056,0.835
1861,3,-0.932,0.894
1861,4,-0.901,0.753
1861,5,-0.946,0.487
1861,6,-0.502,0.56
1861,7,-0.349,0.465
1861,8,-0.146,0.463
1861,9,-0.761,0.434
1861,10,-1.04,0.486
1861,11,-0.387,0.575
1861,12,-0.896,1.051
1862,1,-2.102,1.766
1862,2,-1.614,0.807
1862,3,-1.091,0.816
1862,4,-1.251,1.297
1862,5,-0.554,0.574
1862,6,-0.651,0.925
1862,7,-0.419,0.497
1862,8,-0.76,0.431
1862,9,-1.099,0.541
1862,10,-1.082,0.584
1862,11,-1.508,0.784
1862,12,-2.15,0.866
1863,1,0.37,0.983
1863,2,0.118,1.059
1863,3,-0.596,0.8
1863,4,-0.261,0.601
1863,5,-0.205,0.879
1863,6,-0.474,0.492
1863,7,-0.541,0.51
1863,8,-0.64,0.451
1863,9,-1.058,0.55
1863,10,-1.259,0.46
1863,11,-0.784,0.608
1863,12,-1.059,1.414
1864,1,-1.252,0.994
1864,2,-0.685,1.17
1864,3,-0.777,0.68
1864,4,-0.865,0.805
1864,5,-0.303,0.686
1864,6,-0.122,0.659
1864,7,-0.155,0.682
1864,8,-0.476,0.612
1864,9,-0.735,0.411
1864,10,-0.638,0.731
1864,11,-1.046,0.827
1864,12,-1.537,0.601
1865,1,0.211,0.884
1865,2,-1.148,0.788
1865,3,-1.315,0.638
1865,4,-0.992,0.696
1865,5,-0.456,0.458
1865,6,-0.367,0.524
1865,7,-0.109,0.47
1865,8,-0.262,0.562
1865,9,-0.334,0.493
1865,10,-0.137,0.536
1865,11,0.014,0.775
1865,12,-1.003,1.023
1866,1,0.292,1.122
1866,2,-1.042,0.963
1866,3,-0.998,0.87
1866,4,-0.544,0.631
1866,5,-0.508,0.664
1866,6,-0.685,0.498
1866,7,0.257,0.464
1866,8,-0.439,0.439
1866,9,-0.549,0.672
1866,10,-0.773,0.564
1866,11,-0.191,0.555
1866,12,0.372,0.89
1867,1,-0.262,0.963
1867,2,-0.709,0.846
1867,3,-0.876,0.827
1867,4,-0.185,0.503
1867,5,-0.837,0.461
1867,6,-0.179,0.449
1867,7,-0.069,0.456
1867,8,-0.284,0.613
1867,9,-0.327,0.428
1867,10,-0.088,0.632
1867,11,0.771,0.67
1867,12,0.043,0.743
1868,1,-0.855,0.847
1868,2,-1.388,0.759
1868,3,-0.825,0.584
1868,4,-0.243,0.578
1868,5,-0.203,0.604
1868,6,-0.225,0.417
1868,7,0.222,0.485
1868,8,-0.124,0.48
1868,9,-0.637,0.426
1868,10,0.069,0.476
1868,11,-1.018,0.426
1868,12,-0.462,0.704
1869,1,-0.439,0.971
1869,2,0.195,1.123
1869,3,-1.057,0.664
1869,4,-0.444,0.576
1869,5,-0.097,0.416
1869,6,-0.073,0.755
1869,7,0.069,0.431
1869,8,0.05,0.577
1869,9,0.177,0.42
1869,10,-0.354,0.557
1869,11,-0.398,0.465
1869,12,-0.989,0.695
1870,1,-0.743,0.72
1870,2,-1.244,0.645
1870,3,-0.853,0.692
1870,4,-0.523,0.488
1870,5,-0.083,0.496
1870,6,0.236,0.538
1870,7,0.221,0.491
1870,8,-0.424,0.475
1870,9,-0.148,0.368
1870,10,-0.49,0.662
1870,11,-0.557,0.521
1870,12,-1.506,0.558
1871,1,-1.341,0.718
1871,2,-1.629,1.047
1871,3,-0.658,0.572
1871,4,-0.058,0.428
1871,5,-0.577,0.501
1871,6,-0.38,0.368
1871,7,-0.089,0.402
1871,8,-0.027,0.477
1871,9,-0.564,0.443
1871,10,-0.251,0.427
1871,11,-1.281,0.483
1871,12,-0.892,0.614
1872,1,-1.094,1.046
1872,2,-0.996,0.703
1872,3,-0.584,0.812
1872,4,-0.622,0.502
1872,5,-0.272,0.431
1872,6,-0.495,0.374
1872,7,-0.117,0.458
1872,8,-0.097,0.465
1872,9,-0.278,0.402
1872,10,-0.2,0.383
1872,11,-0.985,0.427
1872,12,-1.315,0.754
1873,1,-0.804,0.683
1873,2,-0.199,0.658
1873,3,-0.736,0.611
1873,4,-1.023,0.443
1873,5,-0.414,0.543
1873,6,-0.15,0.356
1873,7,-0.131,0.441
1873,8,-0.159,0.383
1873,9,-0.678,0.487
1873,10,-0.12,0.445
1873,11,-0.435,0.48
1873,12,-0.096,0.57
1874,1,-0.114,0.831
1874,2,-0.251,0.612
1874,3,-1.281,0.495
1874,4,-0.239,0.432
1874,5,-0.129,0.401
1874,6,-0.195,0.407
1874,7,-0.246,0.378
1874,8,-0.113,0.444
1874,9,-0.057,0.421
1874,10,-0.186,0.372
1874,11,-0.525,0.389
1874,12,-0.392,0.49
1875,1,-1.17,0.616
1875,2,-0.925,0.651
1875,3,-1.109,0.457
1875,4,-0.826,0.409
1875,5,-0.609,0.376
1875,6,-0.327,0.507
1875,7,-0.21,0.368
1875,8,-0.575,0.372
1875,9,-0.833,0.351
1875,10,-0.678,0.29
1875,11,-1.559,0.58
1875,12,-0.976,0.425
1876,1,-0.747,0.465
1876,2,-0.633,0.492
1876,3,-0.583,0.379
1876,4,-0.206,0.344
1876,5,-0.689,0.399
1876,6,-0.356,0.347
1876,7,-0.049,0.388
1876,8,-0.443,0.378
1876,9,-0.467,0.331
1876,10,-0.363,0.281
1876,11,-1.018,0.427
1876,12,-1.528,0.402
1877,1,-0.461,0.694
1877,2,-0.413,0.532
1877,3,-0.075,0.395
1877,4,-0.397,0.349
1877,5,-0.261,0.476
1877,6,-0.118,0.326
1877,7,0.269,0.376
1877,8,0.247,0.388
1877,9,-0.003,0.356
1877,10,-0.028,0.355
1877,11,0.086,0.422
1877,12,-0.845,0.49
1878,1,-0.715,0.572
1878,2,0.424,0.505
1878,3,1.23,0.412
1878,4,0.474,0.348
1878,5,-0.315,0.415
1878,6,0.282,0.312
1878,7,0.46,0.347
1878,8,0.264,0.403
1878,9,0.034,0.391
1878,10,-0.028,0.429
1878,11,0.237,0.462
1878,12,-0.347,0.411
1879,1,-0.368,0.51
1879,2,-0.647,0.508
1879,3,-0.414,0.475
1879,4,-0.656,0.354
1879,5,-0.542,0.378
1879,6,-0.223,0.294
1879,7,-0.139,0.337
1879,8,-0.622,0.385
1879,9,-0.719,0.324
1879,10,-0.054,0.375
1879,11,-0.602,0.388
1879,12,-1.146,0.458
1880,1,-0.889,0.547
1880,2,-1.298,0.497
1880,3,-0.877,0.374
1880,4,-0.883,0.391
1880,5,-0.308,0.412
1880,6,-0.286,0.368
1880,7,-0.238,0.439
1880,8,-0.164,0.5
1880,9,-0.747,0.469
1880,10,-0.595,0.373
1880,11,-0.308,0.492
1880,12,-0.521,0.584
1881,1,-0.206,0.461
1881,2,-0.676,0.441
1881,3,-0.379,0.43
1881,4,-0.049,0.403
1881,5,-0.155,0.359
1881,6,-0.767,0.288
1881,7,-0.237,0.368
1881,8,-0.191,0.473
1881,9,-0.415,0.419
1881,10,-0.41,0.306
1881,11,-0.83,0.37
1881,12,-0.423,0.547
1882,1,0.407,0.435
1882,2,-0.036,0.446
1882,3,-0.358,0.32
1882,4,-0.692,0.334
1882,5,-0.476,0.378
1882,6,-0.723,0.288
1882,7,-0.683,0.366
1882,8,-0.255,0.378
1882,9,-0.362,0.322
1882,10,-0.79,0.342
1882,11,-1.08,0.41
1882,12,-1.533,0.394
1883,1,-1.072,0.478
1883,2,-1.318,0.481
1883,3,-0.371,0.33
1883,4,-0.658,0.469
1883,5,-0.547,0.357
1883,6,-0.173,0.322
1883,7,-0.39,0.336
1883,8,-0.658,0.434
1883,9,-0.772,0.385
1883,10,-0.277,0.332
1883,11,-1.14,0.376
1883,12,-0.384,0.445
1884,1,-0.434,0.499
1884,2,-0.673,0.44
1884,3,-1.433,0.389
1884,4,-1.166,0.4
1884,5,-1.155,0.375
1884,6,-0.906,0.335
1884,7,-0.764,0.382
1884,8,-0.626,0.508
1884,9,-0.808,0.393
1884,10,-0.743,0.293
1884,11,-0.903,0.377
1884,12,-0.516,0.477
1885,1,-1.509,0.682
1885,2,-0.991,0.691
1885,3,-0.661,0.483
1885,4,-0.908,0.651
1885,5,-0.791,0.391
1885,6,-0.776,0.42
1885,7,-0.388,0.465
1885,8,-0.557,0.4
1885,9,-0.655,0.382
1885,10,-0.485,0.31
1885,11,-0.74,0.363
1885,12,0.015,0.581
1886,1,-1.134,0.433
1886,2,-1.46,0.34
1886,3,-1.176,0.556
1886,4,-0.477,0.5
1886,5,-0.613,0.42
1886,6,-0.71,0.354
1886,7,-0.166,0.408
1886,8,-0.574,0.374
1886,9,-0.505,0.297
1886,10,-0.696,0.4
1886,11,-0.865,0.45
1886,12,-0.089,0.593
1887,1,-1.732,0.519
1887,2,-1.135,0.366
1887,3,-0.789,0.406
1887,4,-0.562,0.359
1887,5,-0.539,0.342
1887,6,-0.652,0.299
1887,7,-0.344,0.344
1887,8,-0.803,0.37
1887,9,-0.406,0.39
1887,10,-0.558,0.245
1887,11,-0.578,0.377
1887,12,-0.79,0.401
1888,1,-0.801,0.478
1888,2,-1.181,0.422
1888,3,-1.004,0.352
1888,4,-0.566,0.371
1888,5,-0.695,0.37
1888,6,-0.603,0.34
1888,7,-0.147,0.326
1888,8,-0.37,0.423
1888,9,-0.432,0.428
1888,10,-0.077,0.312
1888,11,-0.328,0.407
1888,12,-0.453,0.428
1889,1,-0.799,0.379
1889,2,0.236,0.359
1889,3,-0.017,0.313
1889,4,0.227,0.314
1889,5,-0.147,0.357
1889,6,-0.197,0.262
1889,7,-0.14,0.389
1889,8,-0.412,0.375
1889,9,-0.555,0.317
1889,10,-0.471,0.254
1889,11,-1.144,0.383
1889,12,-0.585,0.304
1890,1,-0.818,0.428
1890,2,-0.727,0.33
1890,3,-1.121,0.321
1890,4,-0.605,0.348
1890,5,-0.91,0.31
1890,6,-0.641,0.304
1890,7,-0.349,0.371
1890,8,-0.622,0.354
1890,9,-0.574,0.318
1890,10,-0.096,0.255
1890,11,-1.076,0.259
1890,12,-0.71,0.36
1891,1,-0.944,0.329
1891,2,-1.344,0.345
1891,3,-0.547,0.321
1891,4,-0.734,0.281
1891,5,-0.541,0.319
1891,6,-0.634,0.26
1891,7,-0.48,0.37
1891,8,-0.438,0.362
1891,9,-0.377,0.292
1891,10,-0.569,0.279
1891,11,-1.043,0.3
1891,12,-0.05,0.357
1892,1,-0.61,0.365
1892,2,-0.46,0.363
1892,3,-0.999,0.324
1892,4,-0.778,0.363
1892,5,-0.687,0.33
1892,6,-0.216,0.294
1892,7,-0.499,0.336
1892,8,-0.464,0.359
1892,9,-0.358,0.306
1892,10,0.001,0.22
1892,11,-1.201,0.378
1892,12,-0.759,0.494
1893,1,-2.083,0.31
1893,2,-1.566,0.3
1893,3,-0.395,0.306
1893,4,-0.335,0.265
1893,5,-0.602,0.321
1893,6,-0.442,0.371
1893,7,-0.05,0.33
1893,8,-0.406,0.383
1893,9,-0.346,0.292
1893,10,-0.142,0.286
1893,11,-0.292,0.254
1893,12,-0.602,0.297
1894,1,-0.933,0.378
1894,2,-0.365,0.328
1894,3,-0.28,0.366
1894,4,-0.689,0.258
1894,5,-0.393,0.299
1894,6,-0.609,0.298
1894,7,-0.329,0.325
1894,8,-0.401,0.389
1894,9,-0.521,0.255
1894,10,-0.142,0.223
1894,11,-0.686,0.238
1894,12,-0.526,0.297
1895,1,-1.292,0.357
1895,2,-1.192,0.407
1895,3,-0.665,0.286
1895,4,-0.16,0.427
1895,5,-0.46,0.332
1895,6,-0.405,0.314
1895,7,-0.268,0.326
1895,8,-0.367,0.34
1895,9,-0.35,0.302
1895,10,-0.145,0.217
1895,11,-0.349,0.35
1895,12,-0.208,0.316
1896,1,-0.336,0.331
1896,2,-0.549,0.355
1896,3,-1.073,0.332
1896,4,-1.018,0.419
1896,5,-0.452,0.314
1896,6,-0.218,0.311
1896,7,-0.155,0.329
1896,8,-0.27,0.378
1896,9,-0.28,0.344
1896,10,0.152,0.247
1896,11,-0.742,0.284
1896,12,-0.352,0.346
1897,1,-0.662,0.444
1897,2,-0.763,0.287
1897,3,-0.982,0.342
1897,4,-0.069,0.311
1897,5,0.037,0.34
1897,6,-0.193,0.274
1897,7,-0.13,0.416
1897,8,-0.257,0.385
1897,9,-0.218,0.36
1897,10,-0.043,0.291
1897,11,-0.456,0.301
1897,12,-0.451,0.273
1898,1,0.148,0.466
1898,2,-0.869,0.315
1898,3,-1.551,0.275
1898,4,-0.446,0.379
1898,5,-0.541,0.309
1898,6,-0.071,0.264
1898,7,-0.243,0.312
1898,8,-0.301,0.362
1898,9,-0.325,0.265
1898,10,-0.425,0.232
1898,11,-0.62,0.301
1898,12,-0.22,0.301
1899,1,-0.068,0.3
1899,2,-0.872,0.343
1899,3,-0.727,0.274
1899,4,-0.071,0.316
1899,5,-0.326,0.355
1899,6,-0.603,0.272
1899,7,-0.194,0.336
1899,8,-0.104,0.353
1899,9,0.018,0.254
1899,10,0.129,0.229
1899,11,0.491,0.313
1899,12,-0.629,0.339
1900,1,-1.101,0.391
1900,2,-0.102,0.279
1900,3,0.167,0.234
1900,4,-0.111,0.29
1900,5,0.087,0.335
1900,6,-0.149,0.282
1900,7,-0.186,0.363
1900,8,-0.06,0.355
1900,9,-0.143,0.269
1900,10,0.401,0.213
1900,11,-0.341,0.236
1900,12,-0.016,0.326
1901,1,-0.471,0.287
1901,2,-0.082,0.289
1901,3,0.287,0.234
1901,4,0.162,0.327
1901,5,-0.186,0.362
1901,6,-0.079,0.254
1901,7,-0.035,0.384
1901,8,-0.072,0.412
1901,9,-0.127,0.31
1901,10,-0.237,0.286
1901,11,-0.175,0.326
1901,12,-0.289,0.217
1902,1,0.019,0.279
1902,2,0.352,0.229
1902,3,-0.465,0.257
1902,4,-0.367,0.279
1902,5,-0.427,0.336
1902,6,-0.269,0.303
1902,7,-0.166,0.334
1902,8,-0.297,0.392
1902,9,-0.308,0.28
1902,10,-0.429,0.226
1902,11,-0.863,0.239
1902,12,-0.968,0.273
1903,1,-0.142,0.242
1903,2,0.283,0.264
1903,3,-0.355,0.268
1903,4,-0.453,0.296
1903,5,-0.535,0.29
1903,6,-0.621,0.266
1903,7,-0.4,0.316
1903,8,-0.481,0.346
1903,9,-0.609,0.304
1903,10,-0.429,0.239
1903,11,-0.58,0.247
1903,12,-0.75,0.204
1904,1,-0.935,0.25
1904,2,-0.926,0.25
1904,3,-0.79,0.208
1904,4,-0.66,0.258
1904,5,-0.489,0.303
1904,6,-0.51,0.284
1904,7,-0.568,0.329
1904,8,-0.462,0.358
1904,9,-0.726,0.268
1904,10,-0.472,0.217
1904,11,0.078,0.24
1904,12,-0.342,0.2
1905,1,-0.329,0.226
1905,2,-1.268,0.293
1905,3,-0.624,0.297
1905,4,-0.555,0.271
1905,5,-0.342,0.319
1905,6,-0.357,0.284
1905,7,-0.294,0.346
1905,8,-0.289,0.351
1905,9,-0.311,0.269
1905,10,-0.248,0.25
1905,11,0.052,0.235
1905,12,-0.272,0.221
1906,1,-0.537,0.228
1906,2,-0.874,0.285
1906,3,-0.391,0.255
1906,4,0.31,0.291
1906,5,-0.082,0.304
1906,6,-0.165,0.284
1906,7,-0.252,0.327
1906,8,-0.196,0.349
1906,9,-0.343,0.258
1906,10,-0.003,0.195
1906,11,-0.61,0.314
1906,12,0.067,0.273
1907,1,-0.819,0.236
1907,2,-1.115,0.265
1907,3,-0.724,0.237
1907,4,-0.736,0.267
1907,5,-0.967,0.297
1907,6,-0.788,0.27
1907,7,-0.602,0.335
1907,8,-0.52,0.345
1907,9,-0.413,0.263
1907,10,-0.025,0.214
1907,11,-0.879,0.234
1907,12,-0.676,0.236
1908,1,-0.335,0.206
1908,2,-0.403,0.339
1908,3,-1.136,0.273
1908,4,-0.48,0.281
1908,5,-0.203,0.315
1908,6,-0.241,0.247
1908,7,-0.194,0.317
1908,8,-0.502,0.325
1908,9,-0.131,0.247
1908,10,-0.382,0.209
1908,11,-0.851,0.21
1908,12,-0.592,0.228
1909,1,-1.209,0.243
1909,2,-0.519,0.249
1909,3,-0.686,0.218
1909,4,-0.724,0.263
1909,5,-0.699,0.295
1909,6,-0.526,0.243
1909,7,-0.312,0.301
1909,8,-0.117,0.323
1909,9,-0.204,0.25
1909,10,-0.078,0.199
1909,11,0.107,0.219
1909,12,-0.439,0.223
1910,1,-0.302,0.206
1910,2,-0.433,0.231
1910,3,-0.67,0.223
1910,4,-0.224,0.264
1910,5,-0.322,0.296
1910,6,-0.365,0.251
1910,7,-0.109,0.334
1910,8,-0.171,0.336
1910,9,-0.354,0.289
1910,10,-0.24,0.206
1910,11,-0.802,0.308
1910,12,-1.002,0.26
1911,1,-1.007,0.238
1911,2,-0.785,0.249
1911,3,-0.937,0.207
1911,4,-0.338,0.248
1911,5,-0.486,0.315
1911,6,-0.455,0.265
1911,7,-0.311,0.325
1911,8,-0.381,0.334
1911,9,-0.449,0.25
1911,10,-0.009,0.21
1911,11,-0.171,0.206
1911,12,-0.277,0.221
1912,1,-0.259,0.233
1912,2,0.079,0.318
1912,3,-0.954,0.237
1912,4,-0.078,0.251
1912,5,-0.102,0.287
1912,6,-0.047,0.241
1912,7,-0.636,0.341
1912,8,-0.79,0.352
1912,9,-0.908,0.26
1912,10,-0.927,0.219
1912,11,-0.609,0.216
1912,12,-0.631,0.216
1913,1,-0.569,0.225
1913,2,-0.841,0.304
1913,3,-0.779,0.246
1913,4,-0.293,0.255
1913,5,-0.591,0.301
1913,6,-0.477,0.247
1913,7,-0.195,0.352
1913,8,-0.145,0.344
1913,9,-0.32,0.268
1913,10,-0.185,0.205
1913,11,-0.095,0.232
1913,12,0.442,0.247
1914,1,0.722,0.222
1914,2,-0.026,0.221
1914,3,-0.334,0.24
1914,4,-0.211,0.237
1914,5,-0.041,0.303
1914,6,0.007,0.283
1914,7,-0.059,0.375
1914,8,-0.172,0.343
1914,9,-0.183,0.261
1914,10,0.174,0.22
1914,11,-0.301,0.206
1914,12,-0.048,0.253
1915,1,-0.311,0.217
1915,2,0.067,0.26
1915,3,-0.131,0.223
1915,4,0.41,0.239
1915,5,0.159,0.295
1915,6,-0.205,0.259
1915,7,0.002,0.323
1915,8,-0.154,0.359
1915,9,-0.253,0.247
1915,10,-0.273,0.187
1915,11,0.103,0.217
1915,12,-0.082,0.217
1916,1,-0.042,0.263
1916,2,-0.245,0.237
1916,3,-0.448,0.216
1916,4,-0.244,0.294
1916,5,-0.357,0.288
1916,6,-0.564,0.236
1916,7,-0.341,0.307
1916,8,-0.316,0.331
1916,9,-0.4,0.244
1916,10,-0.222,0.182
1916,11,-0.498,0.204
1916,12,-1.301,0.222
1917,1,-0.5,0.284
1917,2,-0.86,0.289
1917,3,-0.854,0.205
1917,4,-0.483,0.262
1917,5,-0.909,0.288
1917,6,-0.629,0.232
1917,7,-0.105,0.316
1917,8,-0.412,0.337
1917,9,-0.378,0.264
1917,10,-0.71,0.211
1917,11,-0.292,0.201
1917,12,-1.366,0.238
1918,1,-0.704,0.24
1918,2,-0.742,0.246
1918,3,-0.49,0.221
1918,4,-0.666,0.251
1918,5,-0.82,0.291
1918,6,-0.583,0.256
1918,7,-0.405,0.346
1918,8,-0.5,0.343
