year,month,monthly_anomaly,monthly_uncertainty
1767,1,-3.252,4.904
1767,2,0.753,5.68
1767,3,1.892,5.116
1767,4,-1.674,3.596
1767,5,-0.599,1.619
1767,6,1.143,3.121
1767,7,-0.445,1.952
1767,8,1.49,1.368
1767,9,0.13,2.064
1767,10,0.061,1.97
1767,11,1.961,5.158
1767,12,-2.583,2.285
1768,1,-4.759,3.123
1768,2,-2.922,5.326
1768,3,-2.73,2.226
1768,4,-0.968,1.636
1768,5,-1.53,1.826
1768,6,-0.233,2.504
1768,7,0.401,2.718
1768,8,-0.805,2.346
1768,9,-0.793,1.844
1768,10,-1.048,2.472
1768,11,-1.096,1.862
1768,12,-0.635,2.691
1769,1,0.042,3.816
1769,2,-0.791,3.253
1769,3,-0.454,3.656
1769,4,1.069,3.333
1769,5,1.9,3.368
1769,6,1.835,2.108
1769,7,0.269,2.713
1769,8,-0.001,2.589
1769,9,-0.298,1.85
1769,10,-3.689,2.132
1769,11,-3.316,2.253
1769,12,-5.013,3.511
1770,1,-0.526,4.269
1770,2,0.921,3.473
1770,3,-3.634,2.055
1770,4,1.376,4.069
1770,5,-0.673,1.569
1770,6,-1.445,2.923
1770,7,-2.313,2.999
1770,8,-1.812,3.05
1770,9,-0.826,2.039
1770,10,-0.089,1.486
1770,11,-0.374,2.812
1770,12,1.054,2.885
1771,1,2.446,4.568
1771,2,-3.367,3.176
1771,3,-2.458,2.567
1771,4,-2.321,2.685
1771,5,-0.911,3.385
1771,6,1.015,1.873
1771,7,0.095,2.103
1771,8,0.601,1.684
1771,9,-0.337,1.573
1771,10,1.45,1.691
1771,11,-1.376,2.32
1771,12,-1.159,3.386
1772,1,-0.966,4.906
1772,2,-1.285,5.26
1772,3,-2.107,3.327
1772,4,0.806,2.581
1772,5,-1.31,2.021
1772,6,-0.367,1.836
1772,7,0.441,2.145
1772,8,0.819,2.346
1772,9,-1.234,2.646
1772,10,0.312,1.74
1772,11,1.7,2.991
1772,12,2.003,2.804
1773,1,-2.459,2.904
1773,2,-1.468,2.937
1773,3,-0.448,2.193
1773,4,1.577,2.09
1773,5,2.234,1.623
1773,6,0.072,1.651
1773,7,0.875,1.318
1773,8,0.454,1.615
1773,9,0.962,1.45
1773,10,0.264,1.914
1773,11,-2.555,5.526
1773,12,1.702,2.448
1774,1,-2.945,4.632
1774,2,1.92,5.843
1774,3,0.793,3.128
1774,4,2.277,2.444
1774,5,6.096,1.972
1774,6,2.404,4.633
1774,7,2.511,5.862
1774,8,0.701,1.742
1774,9,-0.72,1.928
1774,10,-0.233,2.774
1774,11,-2.543,4.067
1774,12,-3.147,3.44
1775,1,1.781,3.836
1775,2,3.17,3.348
1775,3,2.406,2.29
1775,4,-0.448,1.741
1775,5,0.107,2.124
1775,6,-0.936,2.748
1775,7,0.482,1.866
1775,8,0.96,1.756
1775,9,-0.539,2.388
1775,10,1.528,1.999
1775,11,2.632,4.302
1775,12,-1.914,2.527
1776,1,-2.815,4.767
1776,2,1.482,3.771
1776,3,-0.735,2.854
1776,4,-0.796,1.892
1776,5,-0.77,2.5
1776,6,1.211,2.114
1776,7,-0.055,1.713
1776,8,1.32,2.84
1776,9,-1.188,2.372
1776,10,-0.985,2.198
1776,11,0.164,2.279
1776,12,1.782,3.136
1777,1,3.68,4.764
1777,2,1.763,5.55
1777,3,0.301,2.712
1777,4,-1.776,1.759
1777,5,0.296,2.71
1777,6,-0.81,2.174
1777,7,-1.496,1.407
1777,8,-0.586,1.768
1777,9,-0.213,2.954
1777,10,-1.832,3.461
1777,11,-0.221,2.316
1777,12,0.22,3.45
1778,1,0.771,3.852
1778,2,2.848,4.186
1778,3,-0.67,4.523
1778,4,2.843,2.608
1778,5,0.22,2.319
1778,6,-1.49,3.678
1778,7,1.285,1.866
1778,8,-0.521,2.357
1778,9,1.613,2.28
1778,10,-0.91,3.325
1778,11,-1.87,3.202
1778,12,-1.317,2.753
1779,1,-1.384,3.162
1779,2,1.897,5.23
1779,3,1.679,2.784
1779,4,1.879,2.857
1779,5,3.092,2.588
1779,6,-0.833,2.366
1779,7,-0.555,2.034
1779,8,0.299,1.882
1779,9,0.995,2.383
1779,10,0.732,1.336
1779,11,0.353,2.291
1779,12,-0.437,3.259
1780,1,0.022,3.274
1780,2,0.934,3.858
1780,3,0.343,2.219
1780,4,5.348,1.722
1780,5,3.734,2.742
1780,6,0.872,4.765
1780,7,1.616,3.917
1780,8,-0.562,4.2
1780,9,-2.309,2.207
1780,10,0.619,1.558
1780,11,0.259,2.32
1780,12,-1.155,2.926
1781,1,0.091,3.643
1781,2,-0.985,4.736
1781,3,-0.329,2.113
1781,4,-1.245,1.471
1781,5,-0.053,2.41
1781,6,-1.623,1.427
1781,7,0.007,1.57
1781,8,0.548,1.178
1781,9,-1.576,2.357
1781,10,-0.388,1.348
1781,11,1.71,2.51
1781,12,-0.035,3.639
1782,1,-1.813,2.692
1782,2,-2.176,3.356
1782,3,-2.194,3.637
1782,4,0.319,1.766
1782,5,0.218,1.433
1782,6,0.39,1.371
1782,7,-0.399,1.406
1782,8,1.428,1.105
1782,9,0.427,1.511
1782,10,-0.56,2.884
1782,11,-1.341,2.702
1782,12,-1.424,3.301
1783,1,-3.207,2.858
1783,2,1.546,3.152
1783,3,-0.776,2.11
1783,4,0.122,1.749
1783,5,0.914,3.3
1783,6,1.504,2.491
1783,7,-0.814,1.269
1783,8,-0.057,1.182
1783,9,-2.302,2.44
1783,10,-1.453,2.179
1783,11,-3.298,1.976
1783,12,-0.626,2.449
1784,1,0.159,4.019
1784,2,-1.765,3.912
1784,3,-1.055,2.446
1784,4,-0.177,3.514
1784,5,-1.511,2.333
1784,6,-0.321,1.393
1784,7,0.217,2.834
1784,8,1.159,3.99
1784,9,-1.935,2.468
1784,10,-2.061,1.653
1784,11,-1.723,2.227
1784,12,0.03,3.964
1785,1,-1.128,2.516
1785,2,-1.888,2.463
1785,3,-2.771,4.315
1785,4,-1.727,1.557
1785,5,-1.283,2.065
1785,6,0.468,2.008
1785,7,0.098,1.613
1785,8,0.628,1.751
1785,9,-1.448,1.705
1785,10,-1.025,1.879
1785,11,-0.343,2.549
1785,12,-1.739,1.718
1786,1,-1.625,2.813
1786,2,-0.609,2.33
1786,3,0.533,2.48
1786,4,0.951,2.612
1786,5,0.398,1.893
1786,6,0.002,0.995
1786,7,0.946,1.436
1786,8,0.618,2.499
1786,9,0.153,2.447
1786,10,-0.606,1.841
1786,11,-0.996,4.044
1786,12,-2.418,3.192
1787,1,0.004,3.004
1787,2,-0.576,2.371
1787,3,-0.425,1.709
1787,4,-0.524,1.995
1787,5,0.184,3.415
1787,6,1.012,2.714
1787,7,-0.895,2.677
1787,8,-0.384,1.57
1787,9,-1.669,1.77
1787,10,-1.073,2.404
1787,11,-0.657,2.712
1787,12,-0.696,2.223
1788,1,-2.155,2.954
1788,2,0.622,4.143
1788,3,-0.492,2.873
1788,4,0.141,2.161
1788,5,-0.467,1.24
1788,6,0.505,1.4
1788,7,2.212,2.699
1788,8,0.556,1.975
1788,9,-0.1,1.29
1788,10,0.396,1.358
1788,11,0.549,1.435
1788,12,-2.214,2.238
1789,1,1.169,2.907
1789,2,-0.911,2.647
1789,3,-0.831,1.72
1789,4,-0.481,1.449
1789,5,0.213,2.149
1789,6,0.002,1.294
1789,7,0.987,1.592
1789,8,-0.122,1.129
1789,9,0.021,1.33
1789,10,-1.14,2.01
1789,11,0.669,1.777
1789,12,0.23,1.636
1790,1,0.301,2.124
1790,2,0.073,2.07
1790,3,-0.532,1.579
1790,4,-1.293,1.746
1790,5,-0.671,0.913
1790,6,0.12,1.027
1790,7,-0.598,1.097
1790,8,-0.061,1.106
1790,9,-0.706,1.134
1790,10,-0.388,1.27
1790,11,-0.482,1.608
1790,12,-0.51,3.64
1791,1,-0.3,5.102
1791,2,0.134,1.792
1791,3,-0.37,2.363
1791,4,0.887,1.492
1791,5,-0.964,1.871
1791,6,0.007,1.498
1791,7,-0.523,1.444
1791,8,0.06,1.439
1791,9,-0.265,1.533
1791,10,-0.913,1.347
1791,11,0.292,2.157
1791,12,0.091,1.684
1792,1,-1.842,2.713
1792,2,0.694,2.405
1792,3,-0.54,2.108
1792,4,0.004,1.736
1792,5,0.471,1.544
1792,6,0.699,1.531
1792,7,0.681,1.45
1792,8,-0.945,1.082
1792,9,0.599,1.622
1792,10,-1.034,1.648
1792,11,-0.507,2.492
1792,12,0.342,2.127
1793,1,-0.851,2.659
1793,2,1.798,3.222
1793,3,0.505,2.181
1793,4,0.967,1.888
1793,5,0.149,1.055
1793,6,0.335,1.376
1793,7,0.501,1.908
1793,8,-0.185,1.877
1793,9,-0.236,2.371
1793,10,-0.576,1.999
1793,11,-0.181,3.3
1793,12,-1.018,1.859
1794,1,1.515,2.832
1794,2,0.421,3.747
1794,3,1.325,2.031
1794,4,0.908,1.668
1794,5,1.509,1.66
1794,6,-0.759,1.807
1794,7,-0.893,2.339
1794,8,0.12,2.172
1794,9,0.751,2.004
1794,10,0.196,1.277
1794,11,0.232,2.192
1794,12,0.171,2.119
1795,1,0.978,2.358
1795,2,1.859,3.797
1795,3,1.145,2.324
1795,4,1.518,1.6
1795,5,1.135,2.026
1795,6,-0.347,2.547
1795,7,0.998,1.818
1795,8,0.558,1.956
1795,9,-1.256,1.813
1795,10,-0.811,1.686
