Category,Movie,Name,Winner,Year
Visual Effects,Rise of the Planet of the Apes,"Joe Letteri, Dan Lemmon, R. Christopher White and Daniel Barrett",Lost,2012
Visual Effects,Transformers: Dark of the Moon,"Scott Farrar, Scott Benza, Matthew Butler and John Frazier",Lost,2012
Writing (Adapted Screenplay),The Descendants,Screenplay by Alexander Payne and Nat Faxon & Jim Rash,Won,2012
Writing (Adapted Screenplay),Hugo,Screenplay by John Logan,Lost,2012
Writing (Adapted Screenplay),The Ides of March,Screenplay by George Clooney & Grant Heslov and Beau Willimon,Lost,2012
Writing (Adapted Screenplay),Moneyball,Screenplay by Steven Zaillian and Aaron Sorkin; Story by Stan Chervin,Lost,2012
Writing (Adapted Screenplay),Tinker Tailor Soldier Spy,Screenplay by Bridget O'Connor & Peter Straughan,Lost,2012
Writing (Original Screenplay),Midnight in Paris,Written by Woody Allen,Won,2012
Writing (Original Screenplay),The Artist,Written by Michel Hazanavicius,Lost,2012
Writing (Original Screenplay),Bridesmaids,Written by Annie Mumolo & Kristen Wiig,Lost,2012
Writing (Original Screenplay),Margin Call,Written by J.C. Chandor,Lost,2012
Writing (Original Screenplay),A Separation,Written by Asghar Farhadi,Lost,2012
Actor in a Leading Role,Lincoln,Daniel Day-Lewis,Won,2013
Actor in a Leading Role,Silver Linings Playbook,Bradley Cooper,Lost,2013
Actor in a Leading Role,Les Misérables,Hugh Jackman,Lost,2013
Actor in a Leading Role,The Master,Joaquin Phoenix,Lost,2013
Actor in a Leading Role,Flight,Denzel Washington,Lost,2013
Actor in a Supporting Role,Django Unchained,Christoph Waltz,Won,2013
Actor in a Supporting Role,Argo,Alan Arkin,Lost,2013
Actor in a Supporting Role,Silver Linings Playbook,Robert De Niro,Lost,2013
Actor in a Supporting Role,The Master,Philip Seymour Hoffman,Lost,2013
Actor in a Supporting Role,Lincoln,Tommy Lee Jones,Lost,2013
Actress in a Leading Role,Silver Linings Playbook,Jennifer Lawrence,Won,2013
Actress in a Leading Role,Zero Dark Thirty,Jessica Chastain,Lost,2013
Actress in a Leading Role,Amour,Emmanuelle Riva,Lost,2013
Actress in a Leading Role,Beasts of the Southern Wild,Quvenzhané Wallis,Lost,2013
Actress in a Leading Role,The Impossible,Naomi Watts,Lost,2013
Actress in a Supporting Role,Les Misérables,Anne Hathaway,Won,2013
Actress in a Supporting Role,The Master,Amy Adams,Lost,2013
Actress in a Supporting Role,Lincoln,Sally Field,Lost,2013
Actress in a Supporting Role,The Sessions,Helen Hunt,Lost,2013
Actress in a Supporting Role,Silver Linings Playbook,Jacki Weaver,Lost,2013
Animated Feature Film,Brave,Mark Andrews and Brenda Chapman,Won,2013
Animated Feature Film,Frankenweenie,Tim Burton,Lost,2013
Animated Feature Film,ParaNorman,Sam Fell and Chris Butler,Lost,2013
Animated Feature Film,The Pirates! Band of Misfits,Peter Lord,Lost,2013
Animated Feature Film,Wreck-It Ralph,Rich Moore,Lost,2013
Cinematography,Life of Pi,Claudio Miranda,Won,2013
Cinematography,Anna Karenina,Seamus McGarvey,Lost,2013
Cinematography,Django Unchained,Robert Richardson,Lost,2013
Cinematography,Lincoln,Janusz Kaminski,Lost,2013
Cinematography,Skyfall,Roger Deakins,Lost,2013
Costume Design,Anna Karenina,Jacqueline Durran,Won,2013
Costume Design,Les Mis_rables,Paco Delgado,Lost,2013
Costume Design,Lincoln,Joanna Johnston,Lost,2013
Costume Design,Mirror Mirror,Eiko Ishioka,Lost,2013
Costume Design,Snow White and the Huntsman,Colleen Atwood,Lost,2013
Directing,Life of Pi,Ang Lee,Won,2013
Directing,Amour,Michael Haneke,Lost,2013
Directing,Beasts of the Southern Wild,Benh Zeitlin,Lost,2013
Directing,Lincoln,Steven Spielberg,Lost,2013
Directing,Silver Linings Playbook,David O. Russell,Lost,2013
Documentary (Feature),Searching for Sugar Man,Malik Bendjelloul and Simon Chinn,Won,2013
Documentary (Feature),5 Broken Cameras,Emad Burnat and Guy Davidi,Lost,2013
Documentary (Feature),The Gatekeepers,"Dror Moreh, Philippa Kowarsky and Estelle Fialon",Lost,2013
Documentary (Feature),How to Survive a Plague,David France and Howard Gertler,Lost,2013
Documentary (Feature),The Invisible War,Kirby Dick and Amy Ziering,Lost,2013
Documentary (Short Subject),Inocente,Sean Fine and Andrea Nix Fine,Won,2013
Documentary (Short Subject),Kings Point,Sari Gilman and Jedd Wider,Lost,2013
Documentary (Short Subject),Mondays at Racine,Cynthia Wade and Robin Honan,Lost,2013
Documentary (Short Subject),Open Heart,Kief Davidson and Cori Shepherd Stern,Lost,2013
Documentary (Short Subject),Redemption,Jon Alpert and Matthew O'Neill,Lost,2013
Film Editing,Argo,William Goldenberg,Won,2013
Film Editing,Life of Pi,Tim Squyres,Lost,2013
Film Editing,Lincoln,Michael Kahn,Lost,2013
Film Editing,Silver Linings Playbook,Jay Cassidy and Crispin Struthers,Lost,2013
Film Editing,Zero Dark Thirty,Dylan Tichenor and William Goldenberg,Lost,2013
Foreign Language Film,Amour,Austria,Won,2013
Foreign Language Film,Kon-Tiki,Norway,Lost,2013
Foreign Language Film,No,Chile,Lost,2013
Foreign Language Film,A Royal Affair,Denmark,Lost,2013
Foreign Language Film,War Witch,Canada,Lost,2013
Jean Hersholt Humanitarian Award,,Jeffrey Katzenberg,Won,2013
Makeup and Hairstyling,Les Mis_rables,Lisa Westcott and Julie Dartnell,Won,2013
Makeup and Hairstyling,Hitchcock,"Howard Berger, Peter Montagna and Martin Samuel",Lost,2013
Makeup and Hairstyling,The Hobbit: An Unexpected Journey,"Peter Swords King, Rick Findlater and Tami Lane",Lost,2013
Music (Original Score),Life of Pi,Mychael Danna,Won,2013
Music (Original Score),Anna Karenina,Dario Marianelli,Lost,2013
Music (Original Score),Argo,Alexandre Desplat,Lost,2013
Music (Original Score),Lincoln,John Williams,Lost,2013
Music (Original Score),Skyfall,Thomas Newman,Lost,2013
Music (Original Song),Skyfall,"Skyfall in ""Skyfall"" Music and Lyric by Adele Adkins and Paul Epworth",Won,2013
Music (Original Song),Chasing Ice,"Before My Time in ""Chasing Ice"" Music and Lyric by J. Ralph",Lost,2013
Music (Original Song),Ted,"Everybody Needs A Best Friend in ""Ted"" Music by Walter Murphy; Lyric by Seth MacFarlane",Lost,2013
Music (Original Song),Life of Pi,"Pi's Lullaby in ""Life of Pi"" Music by Mychael Danna; Lyric by Bombay Jayashri",Lost,2013
Music (Original Song),Les Misérables,"Suddenly in ""Les Misérables"" Music by Claude-Michel Schönberg; Lyric by Herbert Kretzmer and Alain Boublil",Lost,2013
Best Picture,Argo,"Grant Heslov, Ben Affleck and George Clooney, Producers",Won,2013
Best Picture,Amour,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",Lost,2013
Best Picture,Beasts of the Southern Wild,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",Lost,2013
Best Picture,Django Unchained,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",Lost,2013
Best Picture,Les Mis_rables,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",Lost,2013
Best Picture,Life of Pi,"Gil Netter, Ang Lee and David Womark, Producers",Lost,2013
Best Picture,Lincoln,"Steven Spielberg and Kathleen Kennedy, Producers",Lost,2013
Best Picture,Silver Linings Playbook,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",Lost,2013
Best Picture,Zero Dark Thirty,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",Lost,2013
Production Design,Lincoln,Production Design: Rick Carter; Set Decoration: Jim Erickson,Won,2013
Production Design,Anna Karenina,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer,Lost,2013
Production Design,The Hobbit: An Unexpected Journey,Production Design: Dan Hennah; Set Decoration: Ra Vincent and Simon Bright,Lost,2013
Production Design,Les Mis_rables,Production Design: Eve Stewart; Set Decoration: Anna Lynch-Robinson,Lost,2013
Production Design,Life of Pi,Production Design: David Gropman; Set Decoration: Anna Pinnock,Lost,2013
Short Film (Animated),Paperman,John Kahrs,Won,2013
Short Film (Animated),Adam and Dog,Minkyu Lee,Lost,2013
Short Film (Animated),Fresh Guacamole,PES,Lost,2013
Short Film (Animated),Head over Heels,Timothy Reckart and Fodhla Cronin O'Reilly,Lost,2013
Short Film (Animated),"Maggie Simpson in ""The Longest Daycare""",David Silverman,Lost,2013
Short Film (Live Action),Curfew,Shawn Christensen,Won,2013
Short Film (Live Action),Asad,Bryan Buckley and Mino Jarjoura,Lost,2013
Short Film (Live Action),Buzkashi Boys,Sam French and Ariel Nasr,Lost,2013
Short Film (Live Action),Death of a Shadow (Dood van een Schaduw),Tom Van Avermaet and Ellen De Waele,Lost,2013
Short Film (Live Action),Henry,Yan England,Lost,2013
Sound Editing,Skyfall,Per Hallberg and Karen Baker Landers,Won,2013
Sound Editing,Zero Dark Thirty,Paul N.J. Ottosson,Lost,2013
Sound Editing,Argo,Erik Aadahl and Ethan Van der Ryn,Lost,2013
Sound Editing,Django Unchained,Wylie Stateman,Lost,2013
Sound Editing,Life of Pi,Eugene Gearty and Philip Stockton,Lost,2013
Sound Mixing,Les Mis_rables,"Andy Nelson, Mark Paterson and Simon Hayes",Won,2013
Sound Mixing,Argo,"John Reitz, Gregg Rudloff and Jose Antonio Garcia",Lost,2013
Sound Mixing,Life of Pi,"Ron Bartlett, D.M. Hemphill and Drew Kunin",Lost,2013
Sound Mixing,Lincoln,"Andy Nelson, Gary Rydstrom and Ronald Judkins",Lost,2013
Sound Mixing,Skyfall,"Scott Millan, Greg P. Russell and Stuart Wilson",Lost,2013
Visual Effects,Life of Pi,"Bill Westenhofer, Guillaume Rocheron, Erik-Jan De Boer and Donald R. Elliott",Won,2013
Visual Effects,The Hobbit: An Unexpected Journey,"Joe Letteri, Eric Saindon, David Clayton and R. Christopher White",Lost,2013
Visual Effects,Marvel's The Avengers,"Janek Sirrs, Jeff White, Guy Williams and Dan Sudick",Lost,2013
Visual Effects,Prometheus,"Richard Stammers, Trevor Wood, Charley Henley and Martin Hill",Lost,2013
Visual Effects,Snow White and the Huntsman,"Cedric Nicolas-Troyan, Philip Brennan, Neil Corbould and Michael Dawson",Lost,2013
Writing (Adapted Screenplay),Argo,Screenplay by Chris Terrio,Won,2013
Writing (Adapted Screenplay),Beasts of the Southern Wild,Screenplay by Lucy Alibar & Benh Zeitlin,Lost,2013
Writing (Adapted Screenplay),Life of Pi,Screenplay by David Magee,Lost,2013
Writing (Adapted Screenplay),Lincoln,Screenplay by Tony Kushner,Lost,2013
Writing (Adapted Screenplay),Silver Linings Playbook,Screenplay by David O. Russell,Lost,2013
Writing (Original Screenplay),Django Unchained,Written by Quentin Tarantino,Won,2013
Writing (Original Screenplay),Amour,Written by Michael Haneke,Lost,2013
Writing (Original Screenplay),Flight,Written by John Gatins,Lost,2013
Writing (Original Screenplay),Moonrise Kingdom,Written by Wes Anderson & Roman Coppola,Lost,2013
Writing (Original Screenplay),Zero Dark Thirty,Written by Mark Boal,Lost,2013
Actor in a Leading Role,Dallas Buyers Club,Matthew McConaughey,Won,2014
Actor in a Leading Role,American Hustle,Christian Bale,Lost,2014
Actor in a Leading Role,Nebraska,Bruce Dern,Lost,2014
Actor in a Leading Role,The Wolf of Wall Street,Leonardo DiCaprio,Lost,2014
Actor in a Leading Role,12 Years a Slave,Chiwetel Ejiofor,Lost,2014
Actor in a Supporting Role,Dallas Buyers Club,Jared Leto,Won,2014
Actor in a Supporting Role,Captain Phillips,Barkhad Abdi,Lost,2014
Actor in a Supporting Role,American Hustle,Bradley Cooper,Lost,2014
Actor in a Supporting Role,12 Years a Slave,Michael Fassbender,Lost,2014
Actor in a Supporting Role,The Wolf of Wall Street,Jonah Hill,Lost,2014
Actress in a Leading Role,Blue Jasmine,Cate Blanchett,Won,2014
Actress in a Leading Role,American Hustle,Amy Adams,Lost,2014
Actress in a Leading Role,Gravity,Sandra Bullock,Lost,2014
Actress in a Leading Role,Philomena,Judi Dench,Lost,2014
Actress in a Leading Role,August: Osage County,Meryl Streep,Lost,2014
Actress in a Supporting Role,12 Years a Slave,Lupita Nyong'o,Won,2014
Actress in a Supporting Role,Blue Jasmine,Sally Hawkins,Lost,2014
Actress in a Supporting Role,American Hustle,Jennifer Lawrence,Lost,2014
Actress in a Supporting Role,August: Osage County,Julia Roberts,Lost,2014
Actress in a Supporting Role,Nebraska,June Squibb,Lost,2014
Animated Feature Film,Frozen,"Chris Buck, Jennifer Lee and Peter Del Vecho",Won,2014
Animated Feature Film,The Croods,"Chris Sanders, Kirk DeMicco and Kristine Belson",Lost,2014
Animated Feature Film,Despicable Me 2,"Chris Renaud, Pierre Coffin and Chris Meledandri",Lost,2014
Animated Feature Film,Ernest & Celestine,Benjamin Renner and Didier Brunner,Lost,2014
Animated Feature Film,The Wind Rises,Hayao Miyazaki and Toshio Suzuki,Lost,2014
Cinematography,Gravity,Emmanuel Lubezki,Won,2014
Cinematography,The Grandmaster,Philippe Le Sourd,Lost,2014
Cinematography,Inside Llewyn Davis,Bruno Delbonnel,Lost,2014
Cinematography,Nebraska,Phedon Papamichael,Lost,2014
Cinematography,Prisoners,Roger A. Deakins,Lost,2014
Costume Design,The Great Gatsby,Catherine Martin,Won,2014
Costume Design,American Hustle,Michael Wilkinson,Lost,2014
Costume Design,The Grandmaster,William Chang Suk Ping,Lost,2014
Costume Design,The Invisible Woman,Michael O'Connor,Lost,2014
Costume Design,12 Years a Slave,Patricia Norris,Lost,2014
Directing,Gravity,Alfonso Cuarón,Won,2014
Directing,American Hustle,David O. Russell,Lost,2014
Directing,Nebraska,Alexander Payne,Lost,2014
Directing,12 Years a Slave,Steve McQueen,Lost,2014
Directing,The Wolf of Wall Street,Martin Scorsese,Lost,2014
Documentary (Feature),20 Feet from Stardom,"Morgan Neville, Gil Friesen and Caitrin Rogers",Won,2014
Documentary (Feature),The Act of Killing,Joshua Oppenheimer and Signe Byrge Sørensen,Lost,2014
Documentary (Feature),Cutie and the Boxer,Zachary Heinzerling and Lydia Dean Pilcher,Lost,2014
Documentary (Feature),Dirty Wars,Richard Rowley and Jeremy Scahill,Lost,2014
Documentary (Feature),The Square,Jehane Noujaim and Karim Amer,Lost,2014
Documentary (Short Subject),The Lady in Number 6: Music Saved My Life,Malcolm Clarke and Nicholas Reed,Won,2014
Documentary (Short Subject),CaveDigger,Jeffrey Karoff,Lost,2014
Documentary (Short Subject),Facing Fear,Jason Cohen,Lost,2014
Documentary (Short Subject),Karama Has No Walls,Sara Ishaq,Lost,2014
Documentary (Short Subject),Prison Terminal: The Last Days of Private Jack Hall,Edgar Barens,Lost,2014
Film Editing,Gravity,Alfonso Cuarón and Mark Sanger,Won,2014
Film Editing,American Hustle,"Jay Cassidy, Crispin Struthers and Alan Baumgarten",Lost,2014
Film Editing,Captain Phillips,Christopher Rouse,Lost,2014
Film Editing,Dallas Buyers Club,John Mac McMurphy and Martin Pensa,Lost,2014
Film Editing,12 Years a Slave,Joe Walker,Lost,2014
Foreign Language Film,The Great Beauty,Italy,Won,2014
Foreign Language Film,The Broken Circle Breakdown,Belgium,Lost,2014
Foreign Language Film,The Hunt,Denmark,Lost,2014
Foreign Language Film,The Missing Picture,Cambodia,Lost,2014
Foreign Language Film,Omar,Palestine,Lost,2014
Makeup and Hairstyling,Dallas Buyers Club,Adruitha Lee and Robin Mathews,Won,2014
Makeup and Hairstyling,Jackass Presents: Bad Grandpa,Stephen Prouty,Lost,2014
Makeup and Hairstyling,The Lone Ranger,Joel Harlow and Gloria Pasqua-Casny,Lost,2014
Music (Original Score),Gravity,Steven Price,Won,2014
Music (Original Score),The Book Thief,John Williams,Lost,2014
Music (Original Score),Her,William Butler and Owen Pallett,Lost,2014
Music (Original Score),Philomena,Alexandre Desplat,Lost,2014
Music (Original Score),Saving Mr. Banks,Thomas Newman,Lost,2014
Music (Original Song),Frozen,"""Let It Go"" in Frozen; Music and Lyric by Kristen Anderson-Lopez and Robert Lopez",Won,2014
Music (Original Song),Despicable Me 2,"Happy in ""Despicable Me 2"" Music and Lyric by Pharrell Williams",Lost,2014
Music (Original Song),Her,"The Moon Song in ""Her"" Music by Karen O; Lyric by Karen O and Spike Jonze",Lost,2014
Music (Original Song),Mandela: Long Walk to Freedom,"Ordinary Love in ""Mandela: Long Walk to Freedom"" Music by Paul Hewson, Dave Evans, Adam Clayton and Larry Mullen; Lyric by Paul Hewson",Lost,2014
Best Picture,12 Years a Slave,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",Won,2014
Best Picture,American Hustle,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",Lost,2014
Best Picture,Captain Phillips,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",Lost,2014
Best Picture,Dallas Buyers Club,"Robbie Brenner and Rachel Winter, Producers",Lost,2014
Best Picture,Gravity,"Alfonso Cuarón and David Heyman, Producers",Lost,2014
Best Picture,Her,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",Lost,2014
Best Picture,Nebraska,"Albert Berger and Ron Yerxa, Producers",Lost,2014
Best Picture,Philomena,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",Lost,2014
Best Picture,The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",Lost,2014
Production Design,The Great Gatsby,Production Design: Catherine Martin; Set Decoration: Beverley Dunn,Won,2014
Production Design,American Hustle,Production Design: Judy Becker; Set Decoration: Heather Loeffler,Lost,2014
Production Design,Gravity,Production Design: Andy Nicholson; Set Decoration: Rosie Goodwin and Joanne Woollard,Lost,2014
Production Design,Her,Production Design: K.K. Barrett; Set Decoration: Gene Serdena,Lost,2014
Production Design,12 Years a Slave,Production Design: Adam Stockhausen; Set Decoration: Alice Baker,Lost,2014
Short Film (Animated),Mr. Hublot,Laurent Witz and Alexandre Espigares,Won,2014
Short Film (Animated),Feral,Daniel Sousa and Dan Golden,Lost,2014
Short Film (Animated),Get a Horse!,Lauren MacMullan and Dorothy McKim,Lost,2014
Short Film (Animated),Possessions,Shuhei Morita,Lost,2014
Short Film (Animated),Room on the Broom,Max Lang and Jan Lachauer,Lost,2014
Short Film (Live Action),Helium,Anders Walter and Kim Magnusson,Won,2014
Short Film (Live Action),Aquel No Era Yo (That Wasn't Me),Esteban Crespo,Lost,2014
Short Film (Live Action),Avant Que De Tout Perdre (Just before Losing Everything),Xavier Legrand and Alexandre Gavras,Lost,2014
Short Film (Live Action),Pit__k_ Mun Kaikki Hoitaa? (Do I Have to Take Care of Everything?),Selma Vilhunen and Kirsikka Saari,Lost,2014
Short Film (Live Action),The Voorman Problem,Mark Gill and Baldwin Li,Lost,2014
Sound Editing,Gravity,Glenn Freemantle,Won,2014
Sound Editing,All Is Lost,Steve Boeddeker and Richard Hymns,Lost,2014
Sound Editing,Captain Phillips,Oliver Tarney,Lost,2014
Sound Editing,The Hobbit: The Desolation of Smaug,Brent Burge and Chris Ward,Lost,2014
Sound Editing,Lone Survivor,Wylie Stateman,Lost,2014
Sound Mixing,Gravity,"Skip Lievsay, Niv Adiri, Christopher Benstead and Chris Munro",Won,2014
Sound Mixing,Captain Phillips,"Chris Burdon, Mark Taylor, Mike Prestwood Smith and Chris Munro",Lost,2014
Sound Mixing,The Hobbit: The Desolation of Smaug,"Christopher Boyes, Michael Hedges, Michael Semanick and Tony Johnson",Lost,2014
Sound Mixing,Inside Llewyn Davis,"Skip Lievsay, Greg Orloff and Peter F. Kurland",Lost,2014
Sound Mixing,Lone Survivor,"Andy Koyama, Beau Borders and David Brownlow",Lost,2014
Visual Effects,Gravity,"Tim Webber, Chris Lawrence, David Shirk and Neil Corbould",Won,2014
Visual Effects,The Hobbit: The Desolation of Smaug,"Joe Letteri, Eric Saindon, David Clayton and Eric Reynolds",Lost,2014
Visual Effects,Iron Man 3,"Christopher Townsend, Guy Williams, Erik Nash and Dan Sudick",Lost,2014
Visual Effects,The Lone Ranger,"Tim Alexander, Gary Brozenich, Edson Williams and John Frazier",Lost,2014
Visual Effects,Star Trek Into Darkness,"Roger Guyett, Patrick Tubach, Ben Grossmann and Burt Dalton",Lost,2014
Writing (Adapted Screenplay),12 Years a Slave,Screenplay by John Ridley,Won,2014
Writing (Adapted Screenplay),Before Midnight,"Written by Richard Linklater, Julie Delpy, Ethan Hawke",Lost,2014
Writing (Adapted Screenplay),Captain Phillips,Screenplay by Billy Ray,Lost,2014
Writing (Adapted Screenplay),Philomena,Screenplay by Steve Coogan and Jeff Pope,Lost,2014
Writing (Adapted Screenplay),The Wolf of Wall Street,Screenplay by Terence Winter,Lost,2014
Writing (Original Screenplay),Her,Written by Spike Jonze,Won,2014
Writing (Original Screenplay),American Hustle,Written by Eric Warren Singer and David O. Russell,Lost,2014
Writing (Original Screenplay),Blue Jasmine,Written by Woody Allen,Lost,2014
Writing (Original Screenplay),Dallas Buyers Club,Written by Craig Borten & Melisa Wallack,Lost,2014
Writing (Original Screenplay),Nebraska,Written by Bob Nelson,Lost,2014
Actor in a Leading Role,The Theory of Everything,Eddie Redmayne,Won,2015
Actor in a Leading Role,Foxcatcher,Steve Carell,Lost,2015
Actor in a Leading Role,American Sniper,Bradley Cooper,Lost,2015
Actor in a Leading Role,The Imitation Game,Benedict Cumberbatch,Lost,2015
Actor in a Leading Role,Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,Lost,2015
Actor in a Supporting Role,Whiplash,J.K. Simmons,Won,2015
Actor in a Supporting Role,The Judge,Robert Duvall,Lost,2015
Actor in a Supporting Role,Boyhood,Ethan Hawke,Lost,2015
Actor in a Supporting Role,Birdman or (The Unexpected Virtue of Ignorance),Edward Norton,Lost,2015
Actor in a Supporting Role,Foxcatcher,Mark Ruffalo,Lost,2015
Actress in a Leading Role,Still Alice,Julianne Moore,Won,2015
Actress in a Leading Role,"Two Days, One Night",Marion Cotillard,Lost,2015
Actress in a Leading Role,The Theory of Everything,Felicity Jones,Lost,2015
Actress in a Leading Role,Gone Girl,Rosamund Pike,Lost,2015
Actress in a Leading Role,Wild,Reese Witherspoon,Lost,2015
Actress in a Supporting Role,Boyhood,Patricia Arquette,Won,2015
Actress in a Supporting Role,Wild,Laura Dern,Lost,2015
Actress in a Supporting Role,The Imitation Game,Keira Knightley,Lost,2015
Actress in a Supporting Role,Birdman or (The Unexpected Virtue of Ignorance),Emma Stone,Lost,2015
Actress in a Supporting Role,Into the Woods,Meryl Streep,Lost,2015
Animated Feature Film,Big Hero 6,"Don Hall, Chris Williams and Roy Conli",Won,2015
Animated Feature Film,The Boxtrolls,"Anthony Stacchi, Graham Annable and Travis Knight",Lost,2015
Animated Feature Film,How to Train Your Dragon 2,Dean DeBlois and Bonnie Arnold,Lost,2015
Animated Feature Film,Song of the Sea,Tomm Moore and Paul Young,Lost,2015
Animated Feature Film,The Tale of the Princess Kaguya,Isao Takahata and Yoshiaki Nishimura,Lost,2015
Cinematography,Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki,Won,2015
Cinematography,The Grand Budapest Hotel,Robert Yeoman,Lost,2015
Cinematography,Ida,Łukasz Żal and Ryszard Lenczewski,Lost,2015
Cinematography,Mr. Turner,Dick Pope,Lost,2015
Cinematography,Unbroken,Roger Deakins,Lost,2015
Costume Design,The Grand Budapest Hotel,Milena Canonero,Won,2015
Costume Design,Inherent Vice,Mark Bridges,Lost,2015
Costume Design,Into the Woods,Colleen Atwood,Lost,2015
Costume Design,Maleficent,Anna B. Sheppard,Lost,2015
Costume Design,Mr. Turner,Jacqueline Durran,Lost,2015
Directing,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,Won,2015
Directing,Boyhood,Richard Linklater,Lost,2015
Directing,Foxcatcher,Bennett Miller,Lost,2015
Directing,The Grand Budapest Hotel,Wes Anderson,Lost,2015
Directing,The Imitation Game,Morten Tyldum,Lost,2015
Documentary (Feature),CitizenFour,"Laura Poitras, Mathilde Bonnefoy and Dirk Wilutzky",Won,2015
Documentary (Feature),Finding Vivian Maier,John Maloof and Charlie Siskel,Lost,2015
Documentary (Feature),Last Days in Vietnam,Rory Kennedy and Keven McAlester,Lost,2015
Documentary (Feature),The Salt of the Earth,"Wim Wenders, Juliano Ribeiro Salgado and David Rosier",Lost,2015
Documentary (Feature),Virunga,Orlando von Einsiedel and Joanna Natasegara,Lost,2015
Documentary (Short Subject),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry,Won,2015
Documentary (Short Subject),Joanna,Aneta Kopacz,Lost,2015
Documentary (Short Subject),Our Curse,Tomasz Śliwiński and Maciej Ślesicki,Lost,2015
Documentary (Short Subject),The Reaper (La Parka),Gabriel Serra Arguello,Lost,2015
Documentary (Short Subject),White Earth,J. Christian Jensen,Lost,2015
Film Editing,Whiplash,Tom Cross,Won,2015
Film Editing,American Sniper,Joel Cox and Gary D. Roach,Lost,2015
Film Editing,Boyhood,Sandra Adair,Lost,2015
Film Editing,The Grand Budapest Hotel,Barney Pilling,Lost,2015
Film Editing,The Imitation Game,William Goldenberg,Lost,2015
Foreign Language Film,Ida,Poland,Won,2015
Foreign Language Film,Leviathan,Russia,Lost,2015
Foreign Language Film,Tangerines,Estonia,Lost,2015
Foreign Language Film,Timbuktu,Mauritania,Lost,2015
Foreign Language Film,Wild Tales,Argentina,Lost,2015
Makeup and Hairstyling,The Grand Budapest Hotel,Frances Hannon and Mark Coulier,Won,2015
Makeup and Hairstyling,Foxcatcher,Bill Corso and Dennis Liddiard,Lost,2015
Makeup and Hairstyling,Guardians of the Galaxy,Elizabeth Yianni-Georgiou and David White,Lost,2015
Music (Original Score),The Grand Budapest Hotel,Alexandre Desplat,Won,2015
Music (Original Score),The Imitation Game,Alexandre Desplat,Lost,2015
Music (Original Score),Interstellar,Hans Zimmer,Lost,2015
Music (Original Score),Mr. Turner,Gary Yershon,Lost,2015
Music (Original Score),The Theory of Everything,Jóhann Jóhannsson,Lost,2015
Music (Original Song),Selma,“Glory” from Selma; Music and Lyric by John Stephens and Lonnie Lynn,Won,2015
Music (Original Song),The Lego Movie,“Everything Is Awesome” from The Lego Movie; Music and Lyric by Shawn Patterson,Lost,2015
Music (Original Song),Beyond the Lights,“Grateful” from Beyond the Lights; Music and Lyric by Diane Warren,Lost,2015
Music (Original Song),Glen Campbell…I’ll Be Me,“I’m Not Gonna Miss You” from Glen Campbell…I’ll Be Me; Music and Lyric by Glen Campbell and Julian Raymond,Lost,2015
Music (Original Song),Begin Again,“Lost Stars” from Begin Again; Music and Lyric by Gregg Alexander and Danielle Brisebois,Lost,2015
Best Picture,Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers",Won,2015
Best Picture,American Sniper,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",Lost,2015
Best Picture,Boyhood,"Richard Linklater and Cathleen Sutherland, Producers",Lost,2015
Best Picture,The Grand Budapest Hotel,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers",Lost,2015
Best Picture,The Imitation Game,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers",Lost,2015
Best Picture,Selma,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",Lost,2015
Best Picture,The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers",Lost,2015
Best Picture,Whiplash,"Jason Blum, Helen Estabrook and David Lancaster, Producers",Lost,2015
Production Design,The Grand Budapest Hotel,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock,Won,2015
Production Design,The Imitation Game,Production Design: Maria Djurkovic; Set Decoration: Tatiana Macdonald,Lost,2015
