Category,Movie,Name,Winner,Year
Best Picture,District 9,"Peter Jackson and Carolynne Cunningham, Producers",Lost,2010
Best Picture,An Education,"Finola Dwyer and Amanda Posey, Producers",Lost,2010
Best Picture,Inglourious Basterds,"Lawrence Bender, Producer",Lost,2010
Best Picture,Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",Lost,2010
Best Picture,A Serious Man,"Joel Coen and Ethan Coen, Producers",Lost,2010
Best Picture,Up,"Jonas Rivera, Producer",Lost,2010
Best Picture,Up in the Air,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",Lost,2010
Short Film (Animated),Logorama,Nicolas Schmerkin,Won,2010
Short Film (Animated),French Roast,Fabrice O. Joubert,Lost,2010
Short Film (Animated),Granny O'Grimm's Sleeping Beauty,Nicky Phelan and Darragh O'Connell,Lost,2010
Short Film (Animated),The Lady and the Reaper (La Dama y la Muerte),Javier Recio Gracia,Lost,2010
Short Film (Animated),A Matter of Loaf and Death,Nick Park,Lost,2010
Short Film (Live Action),The New Tenants,Joachim Back and Tivi Magnusson,Won,2010
Short Film (Live Action),The Door,Juanita Wilson and James Flynn,Lost,2010
Short Film (Live Action),Instead of Abracadabra,Patrik Eklund and Mathias Fjellström,Lost,2010
Short Film (Live Action),Kavi,Gregg Helvey,Lost,2010
Short Film (Live Action),Miracle Fish,Luke Doolan and Drew Bailey,Lost,2010
Sound Editing,The Hurt Locker,Paul N.J. Ottosson,Won,2010
Sound Editing,Avatar,Christopher Boyes and Gwendolyn Yates Whittle,Lost,2010
Sound Editing,Inglourious Basterds,Wylie Stateman,Lost,2010
Sound Editing,Star Trek,Mark Stoeckinger and Alan Rankin,Lost,2010
Sound Editing,Up,Michael Silvers and Tom Myers,Lost,2010
Sound Mixing,The Hurt Locker,Paul N.J. Ottosson and Ray Beckett,Won,2010
Sound Mixing,Avatar,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson",Lost,2010
Sound Mixing,Inglourious Basterds,"Michael Minkler, Tony Lamberti and Mark Ulano",Lost,2010
Sound Mixing,Star Trek,"Anna Behlmer, Andy Nelson and Peter J. Devlin",Lost,2010
Sound Mixing,Transformers: Revenge of the Fallen,"Greg P. Russell, Gary Summers and Geoffrey Patterson",Lost,2010
Visual Effects,Avatar,"Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones",Won,2010
Visual Effects,District 9,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken",Lost,2010
Visual Effects,Star Trek,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton",Lost,2010
Writing (Adapted Screenplay),Precious: Based on the Novel 'Push' by Sapphire,Screenplay by Geoffrey Fletcher,Won,2010
Writing (Adapted Screenplay),District 9,Written by Neill Blomkamp and Terri Tatchell,Lost,2010
Writing (Adapted Screenplay),An Education,Screenplay by Nick Hornby,Lost,2010
Writing (Adapted Screenplay),In the Loop,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",Lost,2010
Writing (Adapted Screenplay),Up in the Air,Screenplay by Jason Reitman and Sheldon Turner,Lost,2010
Writing (Original Screenplay),The Hurt Locker,Written by Mark Boal,Won,2010
Writing (Original Screenplay),Inglourious Basterds,Written by Quentin Tarantino,Lost,2010
Writing (Original Screenplay),The Messenger,Written by Alessandro Camon & Oren Moverman,Lost,2010
Writing (Original Screenplay),A Serious Man,Written by Joel Coen & Ethan Coen,Lost,2010
Writing (Original Screenplay),Up,"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy",Lost,2010
Actor in a Leading Role,The King's Speech,Colin Firth,Won,2011
Actor in a Leading Role,Biutiful,Javier Bardem,Lost,2011
Actor in a Leading Role,True Grit,Jeff Bridges,Lost,2011
Actor in a Leading Role,The Social Network,Jesse Eisenberg,Lost,2011
Actor in a Leading Role,127 Hours,James Franco,Lost,2011
Actor in a Supporting Role,The Fighter,Christian Bale,Won,2011
Actor in a Supporting Role,Winter's Bone,John Hawkes,Lost,2011
Actor in a Supporting Role,The Town,Jeremy Renner,Lost,2011
Actor in a Supporting Role,The Kids Are All Right,Mark Ruffalo,Lost,2011
Actor in a Supporting Role,The King's Speech,Geoffrey Rush,Lost,2011
Actress in a Leading Role,Black Swan,Natalie Portman,Won,2011
Actress in a Leading Role,The Kids Are All Right,Annette Bening,Lost,2011
Actress in a Leading Role,Rabbit Hole,Nicole Kidman,Lost,2011
Actress in a Leading Role,Winter's Bone,Jennifer Lawrence,Lost,2011
Actress in a Leading Role,Blue Valentine,Michelle Williams,Lost,2011
Actress in a Supporting Role,The Fighter,Melissa Leo,Won,2011
Actress in a Supporting Role,The Fighter,Amy Adams,Lost,2011
Actress in a Supporting Role,The King's Speech,Helena Bonham Carter,Lost,2011
Actress in a Supporting Role,True Grit,Hailee Steinfeld,Lost,2011
Actress in a Supporting Role,Animal Kingdom,Jacki Weaver,Lost,2011
Animated Feature Film,Toy Story 3,Lee Unkrich,Won,2011
Animated Feature Film,How to Train Your Dragon,Chris Sanders and Dean DeBlois,Lost,2011
Animated Feature Film,The Illusionist,Sylvain Chomet,Lost,2011
Art Direction,Alice in Wonderland,Production Design: Robert Stromberg; Set Decoration: Karen O'Hara,Won,2011
Art Direction,Harry Potter and the Deathly Hallows Part 1,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan,Lost,2011
Art Direction,Inception,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,Lost,2011
Art Direction,The King's Speech,Production Design: Eve Stewart; Set Decoration: Judy Farr,Lost,2011
Art Direction,True Grit,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh,Lost,2011
Cinematography,Inception,Wally Pfister,Won,2011
Cinematography,Black Swan,Matthew Libatique,Lost,2011
Cinematography,The King's Speech,Danny Cohen,Lost,2011
Cinematography,The Social Network,Jeff Cronenweth,Lost,2011
Cinematography,True Grit,Roger Deakins,Lost,2011
Costume Design,Alice in Wonderland,Colleen Atwood,Won,2011
Costume Design,I Am Love,Antonella Cannarozzi,Lost,2011
Costume Design,The King's Speech,Jenny Beavan,Lost,2011
Costume Design,The Tempest,Sandy Powell,Lost,2011
Costume Design,True Grit,Mary Zophres,Lost,2011
Directing,The King's Speech,Tom Hooper,Won,2011
Directing,Black Swan,Darren Aronofsky,Lost,2011
Directing,The Fighter,David O. Russell,Lost,2011
Directing,The Social Network,David Fincher,Lost,2011
Directing,True Grit,Joel Coen and Ethan Coen,Lost,2011
Documentary (Feature),Inside Job,Charles Ferguson and Audrey Marrs,Won,2011
Documentary (Feature),Exit through the Gift Shop,Banksy and Jaimie D'Cruz,Lost,2011
Documentary (Feature),Gasland,Josh Fox and Trish Adlesic,Lost,2011
Documentary (Feature),Restrepo,Tim Hetherington and Sebastian Junger,Lost,2011
Documentary (Feature),Waste Land,Lucy Walker and Angus Aynsley,Lost,2011
